author,year,exppop,id,history_trait,category,color,animal,carotenoid_form,col_variable,sex,species,n,r,z_trans,var,se,lcl,ucl
Aguilera et al,2007,1,1,Antibody,Immune,Yellow,European Greenfinch,Converted,Chroma,M,Carduelis_chloris,16,-0.726502461,-0.921280159,0.076923077,0.277350098,-1.270108653,-0.182896269
Brawner et al,2000,2,2,MG,Immune,Red,House Finch,Converted,Hue,M,Carpodacus_mexicanus,25,0.176,0.177851799,0.045454545,0.213200716,-0.241873404,0.593873404
Brawner et al,2000,2,3,MG,Immune,Red,House Finch,Converted,Saturation,M,Carpodacus_mexicanus,25,0.158,0.159334822,0.045454545,0.213200716,-0.259873404,0.575873404
Brawner et al,2000,2,8,MG,Immune,Red,House Finch,Converted,Hue,M,Carpodacus_mexicanus,6,0.714434508,0.896183588,0.333333333,0.577350269,-0.417172019,1.846041036
Brawner et al,2000,2,4,MGxCocc,Immune,Red,House Finch,Converted,Hue,M,Carpodacus_mexicanus,38,0.799751606,1.097922686,0.028571429,0.169030851,0.468451138,1.131052074
Brawner et al,2000,2,5,MGxCocc,Immune,Red,House Finch,Converted,Saturation,M,Carpodacus_mexicanus,38,0.666730041,0.804833038,0.028571429,0.169030851,0.335429573,0.998030509
Brawner et al,2000,2,9,MGxCocc,Immune,Red,House Finch,Converted,Hue,M,Carpodacus_mexicanus,8,0.735391052,0.940367495,0.2,0.447213595,-0.141147595,1.6119297
Brawner et al,2000,2,6,Cocc,Parasite,Red,House Finch,Converted,Hue,M,Carpodacus_mexicanus,32,0.528562319,0.588147995,0.034482759,0.185695338,0.164599456,0.892525182
Brawner et al,2000,2,7,Cocc,Parasite,Red,House Finch,Converted,Saturation,M,Carpodacus_mexicanus,32,0.288146013,0.296543225,0.034482759,0.185695338,-0.075816849,0.652108876
Chui et al,2011,3,10,Body Condition,Condition,Yellow,Golden-crowned Kinglet,Converted,Saturation,M,Regulus_satrapa,116,0.002649055,0.002649062,0.008849558,0.094072087,-0.181732235,0.187030346
Chui et al,2011,3,11,Body Condition,Condition,Yellow,Golden-crowned Kinglet,Converted,Saturation,F,Regulus_satrapa,67,0.226041789,0.230014161,0.015625,0.125,-0.018958211,0.471041789
Chui et al,2011,3,12,Body Condition,Condition,Yellow,Golden-crowned Kinglet,Converted,Hue,M,Regulus_satrapa,116,0.002649055,0.002649062,0.008849558,0.094072087,-0.181732235,0.187030346
Chui et al,2011,3,13,Body Condition,Condition,Yellow,Golden-crowned Kinglet,Converted,Hue,F,Regulus_satrapa,67,0.216612144,0.220098713,0.015625,0.125,-0.028387856,0.461612144
Chui et al,2011,3,14,Parasite,Parasite,Yellow,Golden-crowned Kinglet,Converted,Saturation,M,Regulus_satrapa,116,0.077564281,0.077720392,0.008849558,0.094072087,-0.10681701,0.261945571
Chui et al,2011,3,15,Parasite,Parasite,Yellow,Golden-crowned Kinglet,Converted,Saturation,F,Regulus_satrapa,67,0.157340996,0.158659018,0.015625,0.125,-0.087659004,0.402340996
Chui et al,2011,3,16,Parasite,Parasite,Yellow,Golden-crowned Kinglet,Converted,Hue,M,Regulus_satrapa,116,0.006622517,0.006622613,0.008849558,0.094072087,-0.177758774,0.191003807
Chui et al,2011,3,17,Parasite,Parasite,Yellow,Golden-crowned Kinglet,Converted,Hue,F,Regulus_satrapa,67,0.271437304,0.278414796,0.015625,0.125,0.026437304,0.516437304
Dauwe and Eens,2008,4,18,Condition,Condition,Yellow,Great Tit,Dietary,Chroma,Both,Parus_major,62,0.060794462,0.060869526,0.016949153,0.130188911,-0.194375804,0.315964727
Dauwe and Eens,2008,4,19,Condition,Condition,Yellow,Great Tit,Dietary,Hue,Both,Parus_major,62,0.06209703,0.062177031,0.016949153,0.130188911,-0.193073236,0.317267295
Dauwe and Eens,2008,4,20,Condition,Condition,Yellow,Great Tit,Dietary,Saturation,Both,Parus_major,62,0.116966646,0.117504483,0.016949153,0.130188911,-0.138203619,0.372136912
Dauwe and Eens,2008,4,21,Environmental Pollutant,Immune,Yellow,Great Tit,Dietary,Chroma,Both,Parus_major,62,0.253001308,0.258616782,0.016949153,0.130188911,-0.002168958,0.508171573
Dauwe and Eens,2008,4,22,Environmental Pollutant,Immune,Yellow,Great Tit,Dietary,Hue,Both,Parus_major,62,0.282569729,0.290472592,0.016949153,0.130188911,0.027399463,0.537739994
Dauwe and Eens,2008,4,23,Environmental Pollutant,Immune,Yellow,Great Tit,Dietary,Saturation,Both,Parus_major,62,0.060794462,0.060869526,0.016949153,0.130188911,-0.194375804,0.315964727
del Cerro et al,2010,5,24,Stress Protein,Immune,Yellow,Blue Tit,Dietary,Chroma,Both,Parus_caeruleus,221,0.192586026,0.195021422,0.004587156,0.067728546,0.059838076,0.325333977
del Cerro et al,2010,5,25,Parasite,Parasite,Yellow,Blue Tit,Dietary,Chroma,Both,Parus_caeruleus,221,0.154062136,0.15529869,0.004587156,0.067728546,0.021314185,0.286810086
Doutrelant et al,2008,6,26,Fledgling Success,Parental/Reproduction,Yellow,Blue Tit,Dietary,PCA,F,Parus_caeruleus,68,0.3258,0.338122264,0.015384615,0.124034735,0.08269192,0.56890808
Dufva and Allander,1995,7,29,Basophils,Immune,Yellow,Great Tit,Dietary,Color Chart,M,Parus_major,45,0.23,0.234189467,0.023809524,0.15430335,-0.072434566,0.532434566
Dufva and Allander,1995,7,28,Eosinophils,Immune,Yellow,Great Tit,Dietary,Color Chart,M,Parus_major,45,-0.1,-0.100335348,0.023809524,0.15430335,-0.402434566,0.202434566
Dufva and Allander,1995,7,27,Heterophils,Immune,Yellow,Great Tit,Dietary,Color Chart,M,Parus_major,45,-0.33,-0.342828254,0.023809524,0.15430335,-0.632434566,-0.027565434
Dufva and Allander,1995,7,30,Lymphocytes,Immune,Yellow,Great Tit,Dietary,Color Chart,M,Parus_major,45,-0.32,-0.331647109,0.023809524,0.15430335,-0.622434566,-0.017565434
Dufva and Allander,1995,7,31,Monocytes,Immune,Yellow,Great Tit,Dietary,Color Chart,M,Parus_major,45,-0.001,-0.001,0.023809524,0.15430335,-0.303434566,0.301434566
Dufva and Allander,1995,7,32,Haemoproteus,Parasite,Yellow,Great Tit,Dietary,Color Chart,M,Parus_major,45,-0.24,-0.244774113,0.023809524,0.15430335,-0.542434566,0.062434566
Dufva and Allander,1995,7,33,Hepatozoon,Parasite,Yellow,Great Tit,Dietary,Color Chart,M,Parus_major,45,-0.17,-0.171666664,0.023809524,0.15430335,-0.472434566,0.132434566
Dufva and Allander,1995,7,34,Plasmodium,Parasite,Yellow,Great Tit,Dietary,Color Chart,M,Parus_major,45,-0.21,-0.213171347,0.023809524,0.15430335,-0.512434566,0.092434566
Dunn et al,2007,8,35,Female Preference,Parental/Reproduction,Yellow,Common Yellowthroat,Dietary,Hue,M,Geothlypis_trichas,18,0.1093,0.109738397,0.066666667,0.25819889,-0.396769824,0.615369824
Dunn et al,2007,8,36,Female Preference,Parental/Reproduction,Yellow,Common Yellowthroat,Dietary,Saturation,M,Geothlypis_trichas,18,0.166,0.167550482,0.066666667,0.25819889,-0.340069824,0.672069824
Dunn et al b,2010,9,37,Body Mass,Condition,Yellow,Common Yellowthroat,Dietary,Saturation,M,Geothlypis_trichas,69,0.004,0.004000021,0.015151515,0.123091491,-0.237259322,0.245259322
Dunn et al b,2010,9,38,Immunoglobulin,Immune,Yellow,Common Yellowthroat,Dietary,Saturation,M,Geothlypis_trichas,69,-0.001,-0.001,0.015151515,0.123091491,-0.242259322,0.240259322
Edler and Friedl,2010,10,39,Body Condition,Condition,Red,Southern Red Bishop,Converted,PCA,M,Euplectes_orix,52,0.215073376,0.218484752,0.020408163,0.142857143,-0.064926624,0.495073376
Edler and Friedl,2010,10,40,H/L ratio,Immune,Red,Southern Red Bishop,Converted,PCA,M,Euplectes_orix,52,0.375907685,0.395285315,0.020408163,0.142857143,0.095907685,0.655907685
Edler and Friedl,2010,10,41,Parasite,Parasite,Red,Southern Red Bishop,Converted,PCA,M,Euplectes_orix,52,0.378695465,0.39853583,0.020408163,0.142857143,0.098695465,0.658695465
Estep et al,2006,11,42,Body Condition,Condition,Red,Red Fody,Converted,Chroma,M,Foudia_madagascariensis,82,0.141,0.141945714,0.012658228,0.11250879,-0.079517229,0.361517229
Estep et al,2006,11,43,Clutch Size,Parental/Reproduction,Red,Red Fody,Converted,Chroma,M,Foudia_madagascariensis,13,-0.357260984,-0.373742604,0.1,0.316227766,-0.977067406,0.262545437
Estep et al,2006,11,44,Nest Initiation,Parental/Reproduction,Red,Red Fody,Converted,Chroma,M,Foudia_madagascariensis,13,0.1079,0.108321688,0.1,0.316227766,-0.511906421,0.727706421
Figuerola et al,1999,12,45,Leucocyte Count,Immune,Yellow,Cirl Bunting,Dietary,Chroma,Both,Emberiza_cirlus,20,-0.323207642,-0.335224792,0.058823529,0.242535625,-0.798577467,0.152162183
Figuerola et al,1999,12,46,Leucocyte Count,Immune,Yellow,Cirl Bunting,Dietary,Hue,Both,Emberiza_cirlus,20,-0.229874301,-0.234056751,0.058823529,0.242535625,-0.705244126,0.245495524
Figuerola et al b,2003,13,47,Parasite,Parasite,Yellow,European Serin,Converted,Chroma,M,Serinus_serinus,29,0.586371914,0.672118822,0.038461538,0.196116135,0.201984289,0.970759538
Figuerola et al b,2003,13,48,Parasite,Parasite,Yellow,European Serin,Converted,Hue,M,Serinus_serinus,29,0.188068538,0.19033413,0.038461538,0.196116135,-0.196319087,0.572456163
Fitze and Richner,2002,14,49,Parasite,Parasite,Yellow,Great Tit,Dietary,Hue,M,Parus_major,17,0.371790529,0.390499228,0.071428571,0.267261242,-0.152041506,0.895622563
Fitze and Richner,2002,14,50,Parasite,Parasite,Yellow,Great Tit,Dietary,Hue,F,Parus_major,24,0.137983878,0.138869737,0.047619048,0.21821789,-0.289723187,0.565690943
Fitze and Richner,2002,14,51,Parasite,Parasite,Yellow,Great Tit,Dietary,Saturation,M,Parus_major,17,0.166369303,0.167930274,0.071428571,0.267261242,-0.357462731,0.690201337
Fitze and Richner,2002,14,52,Parasite,Parasite,Yellow,Great Tit,Dietary,Saturation,F,Parus_major,24,0.093014872,0.093284521,0.047619048,0.21821789,-0.334692193,0.520721937
Freeman-Gallant et al,2011,15,53,Oxidative Damage,Oxidative,Yellow,Common Yellowthroat,Dietary,Chroma,M,Geothlypis_trichas,23,0.25,0.255412812,0.05,0.223606798,-0.188269324,0.688269324
Freeman-Gallant et al,2011,15,54,Oxidative Damage,Oxidative,Yellow,Common Yellowthroat,Dietary,Chroma,M,Geothlypis_trichas,33,0.34542464,0.36023912,0.033333333,0.182574186,-0.012420764,0.703270044
Freeman-Gallant et al,2011,15,55,Oxidative Damage,Oxidative,Yellow,Common Yellowthroat,Dietary,Chroma,M,Geothlypis_trichas,18,0.325799404,0.338121596,0.066666667,0.25819889,-0.18027042,0.831869228
Galvan,2010,16,56,Condition,Condition,Yellow,Great Tit,Dietary,PCA,M,Parus_major,33,0.392262999,0.414471767,0.033333333,0.182574186,0.034417594,0.750108403
Harper,1999,17,57,Condition,Condition,Yellow,European Greenfinch,Converted,Color Chart,M,Carduelis_chloris,42,-0.557982212,-0.629898342,0.025641026,0.160128154,-0.871833394,-0.244131031
Harper,1999,17,58,Condition,Condition,Yellow,European Greenfinch,Converted,Color Chart,M,Carduelis_chloris,35,-0.060728122,-0.060802941,0.03125,0.176776695,-0.407210445,0.2857542
Harper,1999,17,59,Condition,Condition,Yellow,European Greenfinch,Converted,Color Chart,F,Carduelis_chloris,29,0.009424743,0.009425022,0.038461538,0.196116135,-0.374962882,0.393812368
Harper,1999,17,67,Condition,Condition,Red,Linnet,Converted,Color Chart,M,Carduelis_cannabina,32,-0.197597453,-0.200231147,0.034482759,0.185695338,-0.561560315,0.16636541
Harper,1999,17,68,Condition,Condition,Red,Linnet,Converted,Color Chart,M,Carduelis_cannabina,26,-0.141253972,-0.142204847,0.043478261,0.208514414,-0.549942223,0.26743428
Harper,1999,17,63,Condition,Condition,Yellow,Great Tit,Dietary,Color Chart,M,Parus_major,30,0.222590971,0.226380499,0.037037037,0.19245009,-0.154611205,0.599793146
Harper,1999,17,64,Condition,Condition,Yellow,Great Tit,Dietary,Color Chart,F,Parus_major,31,0.294237824,0.303199464,0.035714286,0.188982237,-0.07616736,0.664643007
Harper,1999,17,71,Condition,Condition,Yellow,Yellowhammer,Dietary,Color Chart,M,Emberiza_citrinella,33,0.171529416,0.173242018,0.033333333,0.182574186,-0.186315988,0.52937482
Harper,1999,17,60,Mites,Parasite,Yellow,European Greenfinch,Converted,Color Chart,M,Carduelis_chloris,42,0.558987753,0.631359683,0.025641026,0.160128154,0.245136571,0.872838934
Harper,1999,17,61,Mites,Parasite,Yellow,European Greenfinch,Converted,Color Chart,M,Carduelis_chloris,35,0.585077214,0.670147978,0.03125,0.176776695,0.238594891,0.931559537
Harper,1999,17,62,Mites,Parasite,Yellow,European Greenfinch,Converted,Color Chart,F,Carduelis_chloris,29,0.674519142,0.818988835,0.038461538,0.196116135,0.290131517,1.058906767
Harper,1999,17,69,Mites,Parasite,Red,Linnet,Converted,Color Chart,M,Carduelis_cannabina,32,0.489261051,0.53508837,0.034482759,0.185695338,0.125298188,0.853223914
Harper,1999,17,70,Mites,Parasite,Red,Linnet,Converted,Color Chart,M,Carduelis_cannabina,26,0.571042208,0.649067989,0.043478261,0.208514414,0.162353957,0.97973046
Harper,1999,17,65,Mites,Parasite,Yellow,Great Tit,Dietary,Color Chart,M,Parus_major,30,0.396341164,0.419300722,0.037037037,0.19245009,0.019138988,0.77354334
Harper,1999,17,66,Mites,Parasite,Yellow,Great Tit,Dietary,Color Chart,F,Parus_major,31,0.115128054,0.115640792,0.035714286,0.188982237,-0.25527713,0.485533237
Harper,1999,17,72,Mites,Parasite,Yellow,Yellowhammer,Dietary,Color Chart,M,Emberiza_citrinella,33,-0.171529416,-0.173242018,0.033333333,0.182574186,-0.52937482,0.186315988
Hill and Farmer,2005,18,73,Disease Clearence,Immune,Red,House Finch,Converted,Hue,M,Carpodacus_mexicanus,22,-0.156918191,-0.15822551,0.052631579,0.229415734,-0.60657303,0.292736647
Hill and Farmer,2005,18,74,Disease Clearence,Immune,Red,House Finch,Converted,Hue,M,Carpodacus_mexicanus,22,0.557982212,0.629898342,0.052631579,0.229415734,0.108327374,1.00763705
Hill and Farmer,2005,18,75,Disease Resistance,Immune,Red,House Finch,Converted,Hue,M,Carpodacus_mexicanus,24,0.094212901,0.094493142,0.047619048,0.21821789,-0.333494163,0.521919966
Hill et al -b,2004,20,87,Pathogen Infection,Immune,Red,House Finch,Converted,Hue,M,Carpodacus_mexicanus,31,0.341250074,0.355506681,0.035714286,0.188982237,-0.02915511,0.711655257
Hill et al -b,2004,20,88,Pathogen Infection,Immune,Red,House Finch,Converted,Saturation,M,Carpodacus_mexicanus,31,0.334065862,0.347397911,0.035714286,0.188982237,-0.036339322,0.704471045
Hill et al-a,1999,19,76,Egg Date,Parental/Reproduction,Red,House Finch,Converted,Color Chart,M,Carpodacus_mexicanus,41,0.497379774,0.545818588,0.026315789,0.162221421,0.179425789,0.81533376
Hill et al-a,1999,19,77,Egg Date,Parental/Reproduction,Red,House Finch,Converted,Color Chart,M,Carpodacus_mexicanus,57,0.292166057,0.300932841,0.018518519,0.136082763,0.025443841,0.558888274
Hill et al-a,1999,19,78,Egg Date,Parental/Reproduction,Red,House Finch,Converted,Color Chart,M,Carpodacus_mexicanus,60,0.343858201,0.358461543,0.01754386,0.132453236,0.084249859,0.603466543
Hill et al-a,1999,19,79,Egg Date,Parental/Reproduction,Red,House Finch,Converted,Color Chart,M,Carpodacus_mexicanus,47,0.167355687,0.168944908,0.022727273,0.150755672,-0.128125431,0.462836804
Hill et al-a,1999,19,80,Egg Date,Parental/Reproduction,Red,House Finch,Converted,Color Chart,M,Carpodacus_mexicanus,20,0.477066915,0.519180038,0.058823529,0.242535625,0.00169709,0.95243674
Hill et al-a,1999,19,81,Mate Pairing,Parental/Reproduction,Red,House Finch,Converted,Color Chart,M,Carpodacus_mexicanus,215,0.136058572,0.136907592,0.004716981,0.068680282,0.00144522,0.270671925
Hill et al-a,1999,19,82,Mate Pairing,Parental/Reproduction,Red,House Finch,Converted,Color Chart,M,Carpodacus_mexicanus,185,0.28342246,0.291399562,0.005494505,0.074124932,0.138137594,0.428707326
Hill et al-a,1999,19,83,Mate Pairing,Parental/Reproduction,Red,House Finch,Converted,Color Chart,M,Carpodacus_mexicanus,144,0.422764228,0.451053048,0.007092199,0.084215192,0.257702451,0.587826004
Hill et al-a,1999,19,84,Mate Pairing,Parental/Reproduction,Red,House Finch,Converted,Color Chart,M,Carpodacus_mexicanus,239,0.290697674,0.299328169,0.004237288,0.065094455,0.163112542,0.418282807
Hill et al-a,1999,19,85,Mate Pairing,Parental/Reproduction,Red,House Finch,Converted,Hue,M,Carpodacus_mexicanus,103,0.418072289,0.445353727,0.01,0.1,0.222072289,0.614072289
Hill et al-a,1999,19,86,Mate Pairing,Parental/Reproduction,Red,House Finch,Converted,Hue,M,Carpodacus_mexicanus,278,0.338292799,0.352163444,0.003636364,0.060302269,0.220100352,0.456485246
Horak et al a,2001,21,89,Parasite,Parasite,Yellow,Great Tit,Dietary,Hue,Both,Parus_major,332,0,0,0.003039514,0.055131785,-0.108058298,0.108058298
Horak et al a,2001,21,90,Parasite,Parasite,Yellow,Great Tit,Dietary,Chroma,Both,Parus_major,332,0.111936736,0.112407799,0.003039514,0.055131785,0.003878438,0.219995034
Horak et al b,2004,22,91,Parasite,Parasite,Yellow,European Greenfinch,Converted,Hue,M,Carduelis_chloris,24,0.280583264,0.288315067,0.047619048,0.21821789,-0.147123801,0.708290329
Horak et al b,2004,22,92,Parasite,Parasite,Yellow,European Greenfinch,Converted,Chroma,M,Carduelis_chloris,24,0.380745275,0.400930994,0.047619048,0.21821789,-0.04696179,0.80845234
Horak et al b,2004,22,93,Parasite,Parasite,Yellow,European Greenfinch,Converted,Hue,M,Carduelis_chloris,25,0.521460923,0.578344206,0.045454545,0.213200716,0.103587519,0.939334327
Horak et al b,2004,22,94,Parasite,Parasite,Yellow,European Greenfinch,Converted,Chroma,M,Carduelis_chloris,25,0.677177036,0.823881625,0.045454545,0.213200716,0.259303632,1.09505044
Horak et al b,2004,22,95,Parasite,Parasite,Yellow,European Greenfinch,Converted,Hue,M,Carduelis_chloris,26,0.473873121,0.515053297,0.043478261,0.208514414,0.06518487,0.882561373
Horak et al c,2010,23,96,Oxidative Damage,Oxidative,Yellow,European Greenfinch,Converted,Chroma,M,Carduelis_chloris,57,0.014140722,0.014141664,0.018518519,0.136082763,-0.252581495,0.280862938
Isaksson and Andersson,2008,24,97,Oxidative Damage,Oxidative,Yellow,Great Tit,Dietary,Chroma,Both,Parus_major,41,0.220254884,0.223923972,0.026315789,0.162221421,-0.097699102,0.538208869
