author,year,exppop,id,history_trait,category,color,animal,carotenoid_form,col_variable,sex,species,n,r,z_trans,var,se,lcl,ucl
Isaksson et al a,2007,25,98,Anti Oxidant Capacity,Oxidative,Yellow,Great Tit,Dietary,Chroma,Both,Parus_major,62,0.117070003,0.117609274,0.016949153,0.130188911,-0.138100263,0.372240268
Isaksson et al a,2007,25,99,Anti Oxidant Capacity,Oxidative,Yellow,Great Tit,Dietary,Hue,Both,Parus_major,62,0.253628637,0.259287126,0.016949153,0.130188911,-0.001541629,0.508798902
Isaksson et al b,2008,26,100,Condition,Condition,Yellow,Great Tit,Dietary,Chroma,Both,Parus_major,83,0.117187175,0.117728076,0.0125,0.111803399,-0.101947487,0.336321837
Isaksson et al b,2008,26,101,Condition,Condition,Yellow,Great Tit,Dietary,Hue,Both,Parus_major,83,0.086279596,0.086494651,0.0125,0.111803399,-0.132855066,0.305414258
Jawor et al,2004,27,102,Condition,Condition,Red,Northern Cardinal,Converted,PCA,F,Cardinalis_cardinalis,84,0.282842712,0.290769289,0.012345679,0.111111111,0.065064935,0.50062049
Jawor et al,2004,27,103,Nest Initiation,Parental/Reproduction,Red,Northern Cardinal,Converted,PCA,F,Cardinalis_cardinalis,34,0.360555128,0.377523832,0.032258065,0.179605302,0.008528736,0.71258152
Jawor et al,2004,27,104,Reproduction,Parental/Reproduction,Red,Northern Cardinal,Converted,PCA,F,Cardinalis_cardinalis,36,0.479583152,0.522442776,0.03030303,0.174077656,0.138390947,0.820775358
Jones et al ,2010,28,105,Body Condition,Condition,Red,Northern Cardinal,Converted,PCA,M,Cardinalis_cardinalis,129,0.066294894,0.066392273,0.007936508,0.089087081,-0.108315784,0.240905572
Jones et al ,2010,28,106,Body Condition (Mass),Condition,Red,Northern Cardinal,Converted,PCA,F,Cardinalis_cardinalis,145,0.062622429,0.062704482,0.007042254,0.083918136,-0.101857117,0.227101975
Linville et al ,1998,29,107,Feeding/nestling/hour,Parental/Reproduction,Red,Northern Cardinal,Converted,Color Chart,M,Cardinalis_cardinalis,17,0.323917418,0.336017565,0.071428571,0.267261242,-0.199914616,0.847749452
Linville et al ,1998,29,108,Feeding/nestling/hour,Parental/Reproduction,Red,Northern Cardinal,Converted,Color Chart,F,Cardinalis_cardinalis,17,0.587785252,0.674275478,0.071428571,0.267261242,0.063953218,1.111617286
Linville et al ,1998,29,109,Proportion of Feeding,Parental/Reproduction,Red,Northern Cardinal,Converted,Color Chart,M,Cardinalis_cardinalis,17,0.600420225,0.693804042,0.071428571,0.267261242,0.076588191,1.124252259
Linville et al ,1998,29,110,Proportion of Feeding,Parental/Reproduction,Red,Northern Cardinal,Converted,Color Chart,F,Cardinalis_cardinalis,17,0.661311865,0.795141561,0.071428571,0.267261242,0.137479831,1.185143899
Losdat et al a,2011,30,111,Anti Oxidant Capacity,Oxidative,Yellow,Great Tit,Dietary,PCA,M,Parus_major,29,0.483779447,0.527906845,0.038461538,0.196116135,0.099391822,0.868167072
Losdat et al b,2011,31,112,Anti Oxidant Capacity,Oxidative,Yellow,Great Tit,Dietary,PCA,M,Parus_major,62,0.085322606,0.085530563,0.016949153,0.130188911,-0.16984766,0.340492871
Losdat et al b,2011,31,113,Oxidative Damage,Oxidative,Yellow,Great Tit,Dietary,PCA,M,Parus_major,66,0.080744748,0.080920915,0.015873016,0.125988158,-0.166192041,0.327681537
Maney et al ,2008,32,114,Body Condition,Condition,Red,Northern Cardinal,Converted,PCA,M,Cardinalis_cardinalis,20,0.277,0.284429817,0.058823529,0.242535625,-0.198369825,0.752369825
Maney et al ,2008,32,115,Body Condition,Condition,Red,Northern Cardinal,Converted,PCA,F,Cardinalis_cardinalis,18,-0.054,-0.05405258,0.066666667,0.25819889,-0.560069824,0.452069824
Maney et al ,2008,32,116,H:L,Immune,Red,Northern Cardinal,Converted,PCA,M,Cardinalis_cardinalis,20,-0.653,-0.780511159,0.058823529,0.242535625,-1.128369825,-0.177630175
Maney et al ,2008,32,117,H:L,Immune,Red,Northern Cardinal,Converted,PCA,F,Cardinalis_cardinalis,18,0.037,0.037016898,0.066666667,0.25819889,-0.469069824,0.543069824
Maney et al ,2008,32,118,WBC,Immune,Red,Northern Cardinal,Converted,PCA,M,Cardinalis_cardinalis,20,-0.06,-0.060072156,0.058823529,0.242535625,-0.535369825,0.415369825
Maney et al ,2008,32,119,WBC,Immune,Red,Northern Cardinal,Converted,PCA,F,Cardinalis_cardinalis,18,-0.68,-0.829114038,0.066666667,0.25819889,-1.186069824,-0.173930176
Matysiokova and Remes,2010,33,120,Hatching Success,Parental/Reproduction,Yellow,Great Tit,Dietary,Chroma,F,Parus_major,119,0.031755367,0.031766048,0.00862069,0.092847669,-0.150226064,0.213736799
Matysiokova and Remes,2010,33,121,Incubation Feeding by Male,Parental/Reproduction,Yellow,Great Tit,Dietary,Chroma,M,Parus_major,90,0.064978629,0.065070313,0.011494253,0.107211253,-0.145155428,0.275112686
Matysiokova and Remes,2010,33,122,Nest Attentiveness Female,Parental/Reproduction,Yellow,Great Tit,Dietary,Chroma,F,Parus_major,143,0.031366854,0.031377147,0.007142857,0.084515425,-0.13428338,0.197017088
McGraw and Hill,2000,34,123,Parasite,Parasite,Yellow,American Goldfinch,Converted,Saturation,M,Carduelis_tristis,24,0.673171153,0.816519684,0.047619048,0.21821789,0.245464088,1.100878218
McGraw and Hill,2000,34,124,Parasite,Parasite,Yellow,American Goldfinch,Converted,Saturation,M,Carduelis_tristis,26,0.810290278,1.12787368,0.043478261,0.208514414,0.401602026,1.218978529
Merila et al ,1999,35,125,Parasite Intensity,Parasite,Yellow,European Greenfinch,Converted,PCA,Both,Carduelis_chloris,32,0.446017835,0.479718122,0.034482759,0.185695338,0.082054972,0.809980698
Merila et al ,1999,35,126,Parasite Occurrence,Parasite,Yellow,European Greenfinch,Converted,PCA,Both,Carduelis_chloris,82,-0.017,-0.017001638,0.012658228,0.11250879,-0.237517229,0.203517229
Parker et al,2003,36,127,Body Condition,Condition,Yellow,Kentucky Warbler,Dietary,PCA,M,Oporornis_formosus,29,0.06,0.060072156,0.038461538,0.196116135,-0.324387625,0.444387625
Parker et al,2003,36,128,Mating Success,Parental/Reproduction,Yellow,Kentucky Warbler,Dietary,PCA,M,Oporornis_formosus,29,0,0,0.038461538,0.196116135,-0.384387625,0.384387625
Senar et al a,2002,37,129,Offspring Quality,Parental/Reproduction,Yellow,Blue Tit,Dietary,Hue,M,Parus_caeruleus,36,0.4292,0.45891562,0.03030303,0.174077656,0.088007794,0.770392206
Senar et al a,2002,37,130,Offspring Quality,Parental/Reproduction,Yellow,Blue Tit,Dietary,Hue,F,Parus_caeruleus,36,0.13,0.13073985,0.03030303,0.174077656,-0.211192206,0.471192206
Senar et al a,2002,37,133,Offspring Quality,Parental/Reproduction,Yellow,Blue Tit,Dietary,Chroma,M,Parus_caeruleus,36,0.2235,0.22733712,0.03030303,0.174077656,-0.117692206,0.564692206
Senar et al a,2002,37,134,Offspring Quality,Parental/Reproduction,Yellow,Blue Tit,Dietary,Chroma,F,Parus_caeruleus,36,0.0174,0.017401756,0.03030303,0.174077656,-0.323792206,0.358592206
Senar et al a,2002,37,131,Parental Care,Parental/Reproduction,Yellow,Blue Tit,Dietary,Hue,M,Parus_caeruleus,36,0.0505,0.050542995,0.03030303,0.174077656,-0.290692206,0.391692206
Senar et al a,2002,37,132,Parental Care,Parental/Reproduction,Yellow,Blue Tit,Dietary,Hue,F,Parus_caeruleus,36,0.0482,0.048237379,0.03030303,0.174077656,-0.292992206,0.389392206
Senar et al a,2002,37,135,Parental Care,Parental/Reproduction,Yellow,Blue Tit,Dietary,Chroma,M,Parus_caeruleus,36,0.0619,0.061979241,0.03030303,0.174077656,-0.279292206,0.403092206
Senar et al a,2002,37,136,Parental Care,Parental/Reproduction,Yellow,Blue Tit,Dietary,Chroma,F,Parus_caeruleus,36,0.0712,0.071320682,0.03030303,0.174077656,-0.269992206,0.412392206
Senar et al b,2003,38,137,Feather growth rate,Condition,Yellow,Great Tit,Dietary,Chroma,Both,Parus_major,142,0.0021,0.002100003,0.007194245,0.084818893,-0.16414503,0.16834503
Senar et al b,2003,38,138,Feather growth rate,Condition,Yellow,Great Tit,Dietary,Hue,Both,Parus_major,142,0.1822,0.18425729,0.007194245,0.084818893,0.01595497,0.34844503
Senar et al c,2008,39,139,Body Condition,Condition,Yellow,Great Tit,Dietary,Hue,Both,Parus_major,36,0.133747748,0.134553933,0.03030303,0.174077656,-0.207444457,0.474939954
Senar et al c,2008,39,140,Body Condition,Condition,Yellow,Great Tit,Dietary,Chroma,Both,Parus_major,36,0.361157559,0.378216455,0.03030303,0.174077656,0.019965354,0.702349765
Senar et al c,2008,39,141,Body Condition,Condition,Yellow,Great Tit,Dietary,Chroma,Both,Parus_major,1141,0.100228717,0.10056638,0.000878735,0.029643458,0.042127538,0.158329895
Senar et al c,2008,39,142,Body Condition,Condition,Yellow,Great Tit,Dietary,Hue,Both,Parus_major,1141,0.046134847,0.046167621,0.000878735,0.029643458,-0.011966331,0.104236026
Shawkey et al,2009,40,143,Body Condition,Condition,Red,House Finch,Converted,Hue,M,Carpodacus_mexicanus,29,0.040837866,0.040860591,0.038461538,0.196116135,-0.343549759,0.425225491
Shawkey et al,2009,40,144,Total bacteria,Immune,Red,House Finch,Converted,Hue,M,Carpodacus_mexicanus,29,0.219468622,0.223097773,0.038461538,0.196116135,-0.164919003,0.603856247
Shawkey et al,2009,40,145,Feather Bacteria,Parasite,Red,House Finch,Converted,Hue,M,Carpodacus_mexicanus,29,0.477066915,0.519180038,0.038461538,0.196116135,0.09267929,0.86145454
Stein and Uy,2005,41,146,Mating Success,Parental/Reproduction,Yellow,Golden-Collared Manakin,Dietary,PCA,M,Manacus_vitellinus,22,0.13,0.13073985,0.052631579,0.229415734,-0.319654838,0.579654838
Stein and Uy,2005,41,147,Mating Success,Parental/Reproduction,Yellow,Golden-Collared Manakin,Dietary,PCA,M,Manacus_vitellinus,22,0.27,0.276863823,0.052631579,0.229415734,-0.179654838,0.719654838
Stein and Uy,2005,41,148,Mating Success,Parental/Reproduction,Yellow,Golden-Collared Manakin,Dietary,PCA,M,Manacus_vitellinus,22,0.438,0.469753344,0.052631579,0.229415734,-0.011654838,0.887654838
Stein and Uy,2005,41,149,Mating Success,Parental/Reproduction,Yellow,Golden-Collared Manakin,Dietary,PCA,M,Manacus_vitellinus,22,0.013,0.013000732,0.052631579,0.229415734,-0.436654838,0.462654838
Sundberg,1995,42,150,Parasite,Parasite,Yellow,Yellowhammer,Dietary,PCA,M,Emberiza_citrinella,63,0.06279052,0.062873236,0.016666667,0.129099445,-0.190244392,0.315825431
Sundberg,1995,42,151,Parasite,Parasite,Yellow,Yellowhammer,Dietary,PCA,F,Emberiza_citrinella,17,-0.078459096,-0.078620687,0.071428571,0.267261242,-0.60229113,0.445372938
Sundberg,1995,42,152,Parasite,Parasite,Yellow,Yellowhammer,Dietary,PCA,M,Emberiza_citrinella,139,-0.06279052,-0.062873236,0.007352941,0.085749293,-0.230859133,0.105278094
Sundberg,1995,42,153,Parasite,Parasite,Yellow,Yellowhammer,Dietary,PCA,F,Emberiza_citrinella,49,0.156434465,0.15772961,0.02173913,0.147441956,-0.132551769,0.445420699
Sundberg,1995,42,154,Parasite,Parasite,Yellow,Yellowhammer,Dietary,PCA,M,Emberiza_citrinella,50,-0.353474844,-0.369409207,0.021276596,0.145864991,-0.639370227,-0.06757946
Sundberg,1995,42,155,Parasite,Parasite,Yellow,Yellowhammer,Dietary,PCA,M,Emberiza_citrinella,21,-0.202787295,-0.205637682,0.055555556,0.23570226,-0.664763726,0.259189135
Sundberg,1995,42,156,Clutch Size,Parental/Reproduction,Yellow,Yellowhammer,Dietary,PCA,M,Emberiza_citrinella,61,-0.078459096,-0.078620687,0.017241379,0.131306433,-0.335819704,0.178901513
Sundberg,1995,42,157,Clutch Size,Parental/Reproduction,Yellow,Yellowhammer,Dietary,PCA,M,Emberiza_citrinella,32,0.078459096,0.078620687,0.034482759,0.185695338,-0.285503767,0.442421959
Sundberg,1995,42,158,Clutch Size,Parental/Reproduction,Yellow,Yellowhammer,Dietary,PCA,F,Emberiza_citrinella,40,0.015707317,0.015708609,0.027027027,0.164398987,-0.306514698,0.337929332
Sundberg,1995,42,159,Clutch Size,Parental/Reproduction,Yellow,Yellowhammer,Dietary,PCA,F,Emberiza_citrinella,15,0.1719291,0.173653848,0.083333333,0.288675135,-0.393874164,0.737732364
Sundberg,1995,42,160,Fledgling number,Parental/Reproduction,Yellow,Yellowhammer,Dietary,PCA,M,Emberiza_citrinella,68,-0.094108313,-0.094387618,0.015384615,0.124034735,-0.337216393,0.148999766
Sundberg,1995,42,161,Fledgling number,Parental/Reproduction,Yellow,Yellowhammer,Dietary,PCA,M,Emberiza_citrinella,36,-0.015707317,-0.015708609,0.03030303,0.174077656,-0.356899523,0.325484888
Sundberg,1995,42,162,Fledgling number,Parental/Reproduction,Yellow,Yellowhammer,Dietary,PCA,F,Emberiza_citrinella,40,-0.078459096,-0.078620687,0.027027027,0.164398987,-0.400681111,0.243762919
Sundberg,1995,42,163,Fledgling number,Parental/Reproduction,Yellow,Yellowhammer,Dietary,PCA,F,Emberiza_citrinella,15,0.202787295,0.205637682,0.083333333,0.288675135,-0.363015968,0.768590559
Sundberg,1995,42,164,Lay Date,Parental/Reproduction,Yellow,Yellowhammer,Dietary,PCA,F,Emberiza_citrinella,37,-0.06279052,-0.062873236,0.029411765,0.171498585,-0.398927746,0.273346707
Sundberg,1995,42,165,Lay Date,Parental/Reproduction,Yellow,Yellowhammer,Dietary,PCA,F,Emberiza_citrinella,15,0.397147891,0.420258154,0.083333333,0.288675135,-0.168655373,0.962951154
Sundberg,1995,42,166,Lay Date,Parental/Reproduction,Yellow,Yellowhammer,Dietary,PCA,M,Emberiza_citrinella,124,0.015707317,0.015708609,0.008264463,0.090909091,-0.162474501,0.193889135
Sundberg,1995,42,167,Lay Date,Parental/Reproduction,Yellow,Yellowhammer,Dietary,PCA,M,Emberiza_citrinella,33,0.187381315,0.189621804,0.033333333,0.182574186,-0.17046409,0.545226719
Sundberg and Larsson,1994,43,168,Clutch Size,Parental/Reproduction,Yellow,Yellowhammer,Dietary,PCA,M,Emberiza_citrinella,64,-0.01,-0.010000333,0.016393443,0.12803688,-0.260952285,0.240952285
Sundberg and Larsson,1994,43,169,Clutch Size,Parental/Reproduction,Yellow,Yellowhammer,Dietary,PCA,M,Emberiza_citrinella,18,-0.5,-0.549306144,0.066666667,0.25819889,-1.006069824,0.006069824
Sundberg and Larsson,1994,43,170,Clutch Size,Parental/Reproduction,Yellow,Yellowhammer,Dietary,PCA,M,Emberiza_citrinella,46,0.11,0.110446916,0.023255814,0.15249857,-0.188897198,0.408897198
Sundberg and Larsson,1994,43,171,Feeding rate,Parental/Reproduction,Yellow,Yellowhammer,Dietary,PCA,Both,Emberiza_citrinella,18,-0.64,-0.758173745,0.066666667,0.25819889,-1.146069824,-0.133930176
Sundberg and Larsson,1994,43,172,Feeding rate,Parental/Reproduction,Yellow,Yellowhammer,Dietary,PCA,M,Emberiza_citrinella,18,-0.397147891,-0.420258154,0.066666667,0.25819889,-0.903217715,0.108921933
Sundberg and Larsson,1994,43,173,Fledgling number,Parental/Reproduction,Yellow,Yellowhammer,Dietary,PCA,M,Emberiza_citrinella,68,0.14,0.140925576,0.015384615,0.124034735,-0.10310808,0.38310808
Sundberg and Larsson,1994,43,174,Fledgling number,Parental/Reproduction,Yellow,Yellowhammer,Dietary,PCA,M,Emberiza_citrinella,22,-0.27,-0.276863823,0.052631579,0.229415734,-0.719654838,0.179654838
Sundberg and Larsson,1994,43,175,Fledgling number,Parental/Reproduction,Yellow,Yellowhammer,Dietary,PCA,M,Emberiza_citrinella,46,0.36,0.376885901,0.023255814,0.15249857,0.061102802,0.658897198
Taff et al,2012,44,176,Mating Success Extra Pair,Parental/Reproduction,Yellow,Common Yellowthroat,Dietary,Chroma,M,Geothlypis_trichas,56,-0.33,-0.342828254,0.018867925,0.137360564,-0.599226705,-0.060773295
Taff et al,2012,44,177,Mating Success Within Pair,Parental/Reproduction,Yellow,Common Yellowthroat,Dietary,Chroma,M,Geothlypis_trichas,56,-0.12,-0.120581028,0.018867925,0.137360564,-0.389226705,0.149226705
Tarof ef al,2005,45,178,Female Preference,Parental/Reproduction,Yellow,Common Yellowthroat,Dietary,PCA,M,Geothlypis_trichas,10,0.5026,0.552778844,0.142857143,0.377964473,-0.238210367,1.243410367
Thompson et al,1997,46,179,Parasite,Parasite,Red,House Finch,Converted,Color Chart,M,Carpodacus_mexicanus,60,0.042602817,0.04262862,0.01754386,0.132453236,-0.217005525,0.302211159
Thompson et al,1997,46,180,Parasite,Parasite,Red,House Finch,Converted,Color Chart,M,Carpodacus_mexicanus,39,0.505524582,0.556699618,0.027777778,0.166666667,0.178857915,0.832191248
Thompson et al,1997,46,181,Parasite,Parasite,Red,House Finch,Converted,Color Chart,M,Carpodacus_mexicanus,37,0.599398708,0.69220819,0.029411765,0.171498585,0.263261481,0.935535935
Thompson et al,1997,46,182,Parasite,Parasite,Red,House Finch,Converted,Color Chart,M,Carpodacus_mexicanus,38,0.702418753,0.872059015,0.028571429,0.169030851,0.371118286,1.033719221
Van Oort and Dawson,2005,47,183,Body Condition,Condition,Red,Common Redpoll,Converted,PCA,M,Carduelis_flammea,7,-0.23,-0.234189467,0.25,0.5,-1.21,0.75
Van Oort and Dawson,2005,47,184,Disease Survival,Immune,Red,Common Redpoll,Converted,PCA,M,Carduelis_flammea,39,-0.3672,-0.385182858,0.027777778,0.166666667,-0.693866667,-0.040533333
Vinkler et al,2012,48,185,PHA response,Immune,Red,Common Rosefinch,Converted,Saturation,M,Carpodacus_erythrinus,45,0.3817,0.402048064,0.023809524,0.15430335,0.079265434,0.684134566
Weatherhead et al ,1993,49,186,Parasite intensity,Parasite,Red,Red-winged Blackbird,Converted,Color Chart,M,Agelaius_phoeniceus,45,0.17,0.171666664,0.023809524,0.15430335,-0.132434566,0.472434566
Weatherhead et al ,1993,49,187,Parasite number,Parasite,Red,Red-winged Blackbird,Converted,Color Chart,M,Agelaius_phoeniceus,45,0.11,0.110446916,0.023809524,0.15430335,-0.192434566,0.412434566
Wolfenbarger,1999,50,190,Fledgling Success,Parental/Reproduction,Red ,Northern Cardinal,Converted,Color Chart,M,Cardinalis_cardinalis,29,0.551945765,0.621175235,0.038461538,0.196116135,0.16755814,0.93633339
Wolfenbarger,1999,50,191,Fledgling Success,Parental/Reproduction,Red ,Northern Cardinal,Converted,Color Chart,M,Cardinalis_cardinalis,22,0.42094352,0.44883818,0.052631579,0.229415734,-0.028711319,0.870598358
Wolfenbarger,1999,50,188,Mating Success,Parental/Reproduction,Red,Northern Cardinal,Converted,Color Chart,M,Cardinalis_cardinalis,23,0.657733293,0.788808093,0.05,0.223606798,0.21946397,1.096002617
Wolfenbarger,1999,50,189,Mating Success,Parental/Reproduction,Red,Northern Cardinal,Converted,Color Chart,M,Cardinalis_cardinalis,23,0.436286483,0.467635028,0.05,0.223606798,-0.001982841,0.874555806